地下 : ち か ; underground
広い : ひろ い ; wide
若い : わか い ; young
習う : なら う ; to learn
習字 : しゅう じ ; calligraphy
世話をする : せ わ を す る ; to take care of...
お世話になる : お せ わ に な る ; to be in someone's care
婚約者 : こん やく しゃ ; fiancé(e)
普通 : ふ つう ; common, general, universal
土俵際 : ど ひょう ぎわ ; the edge of the ring; the last moment
地理 : ち り ; geography
小説 : しょう せつ ; novel
醤油 : しょう ゆ ; soy sauce
形 : かたち ; shape, form, figure
目的 : もく てき ; purpose
出身 : しゅっ しん ; birthplace, hometown
行う : おこな う ; do, act, go on, carry out
言語 : げん ご ; language
男性 : だん せい ; male
女性 : じょ せい ; female
